id;name;job;rundate;batchstatus
1;joyous rapidly cutover;purple responsibility blissfully;2024-11-20;PENDING
2;vibration sadly;toward range;2024-11-20;RUNNING
3;shameful understated against;hmph;2024-11-20;RUNNING
4;goat;round;2024-11-20;PENDING
5;why;opposite palatable;2024-11-20;DONE
6;husband gripper instead;greedily supposing guzzle;2024-11-20;PENDING
7;towards abnormally;bug loftily yowza;2024-11-21;FAILED
8;midst whenever immediately;against;2024-11-20;DONE
9;wilt gosh;keenly;2024-11-20;RUNNING
10;unaware;after yippee incidentally;2024-11-20;DONE
