id;name;price;jhi_change;ticker;marketdate
1;ack far;26538.98;20950.73;DOW;2024-11-20
2;outstanding festival;1772.98;2802.34;DOW;2024-11-20
3;puny concerning swear;7505.07;10641.14;IWM;2024-11-20
4;orient;4669.6;28217.07;IWM;2024-11-20
5;scare;10811.81;21640.37;SPY;2024-11-21
6;beside;26589.1;5019.56;QQQ;2024-11-20
7;but meanwhile toward;24352.03;21092.1;QQQ;2024-11-20
8;plus which;23679.68;119.11;QQQ;2024-11-20
9;subexpression through yellow;4815.35;4064.15;SPY;2024-11-20
10;swat overtrain;25007.16;15430.71;IWM;2024-11-20
