id;name;transdate;type;amount
1;lest swanling knife;2024-11-20;lest;11419.16
2;round violently;2024-11-20;bah searchingly limply;805.81
3;but if;2024-11-20;ouch;6468.54
4;despite;2024-11-20;ashamed stratify than;9139.87
5;amidst;2024-11-20;pale finally speedily;9989.51
6;whistle stock;2024-11-20;hm idle;15831.42
7;concerning;2024-11-21;commercial whoa league;9737.15
8;likewise finally unnaturally;2024-11-20;elegantly smug;31402.09
9;amid whether overproduce;2024-11-20;woot uh-huh considering;11462.23
10;yowza;2024-11-20;beside joyously;5260.96
